Id,field,harvest_year,harvest_month,age,temperature,Precipitation,Soilwater_L3,dewpoint,Soilwater_L4,windspeed,Soilwater_L1,Soilwater_L2,production
0,0,2004,1,19,26.132,360.91,0.34844,24.661,0.33385,1.8766,0.35274,0.35192,0.06407108239095315
1,0,2004,2,19,25.295,484.67,0.36411,24.401,0.36357,1.9206,0.36361,0.36376,0.04765751211631664
2,0,2004,3,19,25.61,460.76,0.36351,24.651,0.36575,1.9948,0.36399,0.36383,0.016865912762520193
3,0,2004,4,19,26.328,350.02,0.35697,24.753,0.36079,1.9063,0.35677,0.35679,0.025525040387722138
4,0,2004,5,19,26.566,186.72,0.36085,24.94,0.36468,1.8569,0.36002,0.36022,0.047689822294022625
5,0,2004,6,19,26.077,109.45,0.35274,24.373,0.35567,1.8734,0.35241,0.35267,0.1475282714054927
6,0,2004,7,19,26.182,173.3,0.34552,23.648,0.35143,1.8517,0.34244,0.34307,0.36827140549273035
7,0,2004,8,19,26.597,169.62,0.32168,23.918,0.33193,1.9428,0.32118,0.32079,0.43919224555735065
8,0,2004,9,19,27.036,139.82,0.31891,24.233,0.32213,2.0291,0.32212,0.32032,0.41108239095315036
9,0,2004,10,19,27.602,221.24,0.29996,23.498,0.31129,2.3076,0.29262,0.29302,0.42946688206785133
10,0,2004,11,19,27.544,9.9482,0.28812,23.601,0.29783,2.3453,0.28886,0.28758,0.36003231017770604
11,0,2004,12,19,27.309,136.33,0.28844,23.807,0.2912,2.0102,0.2927,0.29019,0.20252019386106626
12,0,2005,1,20,27.286,212.56,0.29215,24.269,0.28793,2.0396,0.30134,0.29818,0.12597738287560586
13,0,2005,2,20,26.578,446.28,0.3218,24.765,0.30038,2.0914,0.33256,0.32987,0.04549273021001616
14,0,2005,3,20,26.355,376.8,0.34371,24.69,0.33409,1.8963,0.34691,0.34601,0.05260096930533118
15,0,2005,4,20,26.643,404.49,0.3469,24.8,0.348,1.8473,0.3463,0.34616,0.018610662358642973
16,0,2005,5,20,26.397,316.81,0.35128,24.952,0.35101,1.7458,0.35231,0.35219,0.07806138933764137
17,0,2005,6,20,26.848,101.77,0.34394,24.529,0.35258,1.8646,0.34158,0.342,0.18468497576736673
18,0,2005,7,20,27.091,74.006,0.32503,23.823,0.33576,1.6948,0.32078,0.32119,0.12885298869143783
19,0,2005,8,20,27.941,96.237,0.28944,23.314,0.30965,2.0252,0.28272,0.28272,0.2592245557350566
20,0,2005,9,20,28.79,41.403,0.26585,22.541,0.28966,2.4467,0.2437,0.24671,0.6667205169628434
21,0,2005,10,20,28.3,122.34,0.25997,23.321,0.27443,2.4174,0.26832,0.26336,0.29599353796445876
22,0,2005,11,20,28.476,72.605,0.26373,23.576,0.26716,2.3375,0.26755,0.26388,0.34090468497576737
23,0,2005,12,20,26.85,333.23,0.29839,24.272,0.27658,1.6893,0.31668,0.31148,0.13004846526655897
24,0,2006,1,21,26.595,341.51,0.33994,24.74,0.32083,1.9897,0.34587,0.34462,0.121453957996769
25,0,2006,2,21,26.204,309.01,0.34861,24.626,0.34523,2.1281,0.35104,0.35031,0.07382875605815833
26,0,2006,3,21,26.019,452.42,0.36103,24.734,0.35914,2.176,0.361,0.36088,0.05318255250403878
27,0,2006,4,21,25.978,516.34,0.36628,24.882,0.36728,1.5105,0.36575,0.36582,0.031207108239095324
28,0,2006,5,21,26.171,349.06,0.36155,24.843,0.36493,1.6832,0.36109,0.36121,0.06785137318255251
29,0,2006,6,21,26.598,94.03,0.34494,24.204,0.35502,1.6346,0.34246,0.34285,0.03851373182552504
30,0,2006,7,21,27.156,111.16,0.31909,24.049,0.33055,1.8849,0.3193,0.31881,0.08646203554119548
31,0,2006,8,21,27.636,120.66,0.30636,23.897,0.31578,2.0829,0.30444,0.30413,0.13428109854604203
