field,month,year,age,tempo,temperature,Precipitation,solo,Id
0,1,2012,27,1/2012,27.485,409.01,0.25029250000000003,5243
0,2,2012,27,2/2012,26.549,491.13,0.2819575,5244
0,3,2012,27,3/2012,26.234,462.94,0.330365,5245
0,4,2012,27,4/2012,26.94,355.9,0.33424,5246
0,5,2012,27,5/2012,27.329,228.67,0.326335,5247
0,6,2012,27,6/2012,27.131,121.49,0.3095575,5248
0,7,2012,27,7/2012,26.892,113.03,0.3289025,5249
0,8,2012,27,8/2012,27.277,66.048,0.3072025,5250
0,9,2012,27,9/2012,28.32,68.715,0.26724,5251
0,10,2012,27,10/2012,29.649,81.293,0.23207,5252
0,11,2012,27,11/2012,29.815,50.59,0.2275675,5253
0,12,2012,27,12/2012,27.974,216.23,0.24805,5254
0,1,2013,28,1/2013,26.395,345.55,0.3064775,5255
0,2,2013,28,2/2013,26.246,640.97,0.33721999999999996,5256
0,3,2013,28,3/2013,26.561,429.59,0.3507825,5257
0,4,2013,28,4/2013,26.497,358.01,0.3562875,5258
0,5,2013,28,5/2013,26.672,332.1,0.35729999999999995,5259
0,6,2013,28,6/2013,27.006,168.09,0.32779,5260
0,7,2013,28,7/2013,26.365,198.53,0.33575750000000004,5261
0,8,2013,28,8/2013,27.651,179.35,0.3133825,5262
0,9,2013,28,9/2013,27.962,106.32,0.313295,5263
0,10,2013,28,10/2013,28.708,122.71,0.2779775,5264
0,11,2013,28,11/2013,28.15,195.89,0.27382000000000006,5265
0,12,2013,28,12/2013,28.444,250.6,0.26900749999999995,5266
0,2,2014,29,2/2014,26.026,569.41,0.3385325,5267
0,3,2014,29,3/2014,26.283,530.5,0.3499675,5268
0,4,2014,29,4/2014,26.563,422.34,0.353245,5269
0,5,2014,29,5/2014,26.576,260.45,0.3611525,5270
0,6,2014,29,6/2014,27.016,231.87,0.35194250000000005,5271
0,7,2014,29,7/2014,26.973,183.19,0.347575,5272
0,8,2014,29,8/2014,27.56,134,0.31989999999999996,5273
0,9,2014,29,9/2014,27.873,115.54,0.28923,5274
0,10,2014,29,10/2014,28.235,169.56,0.285095,5275
0,11,2014,29,11/2014,28.862,42.329,0.26914,5276
0,12,2014,29,12/2014,28.394,248.58,0.27065,5277
0,1,2015,30,1/2015,26.917,414.8,0.29011499999999996,5278
0,2,2015,30,2/2015,26.462,417.51,0.31074500000000005,5279
0,3,2015,30,3/2015,26.333,506.45,0.3387425,5280
0,4,2015,30,4/2015,26.599,445.26,0.34731,5281
0,5,2015,30,5/2015,27.064,321.85,0.346955,5282
0,5,2015,30,5/2015,27.064,321.85,0.346955,5283
0,7,2015,30,7/2015,27.247,174.28,0.32359,5284
0,8,2015,30,8/2015,28.373,27.638,0.2962475,5285
0,9,2015,30,9/2015,28.951,90.425,0.2729725,5286
0,11,2015,30,11/2015,29.513,31.551,0.261615,5287
0,11,2015,30,11/2015,29.513,31.551,0.261615,5288
